Name,Specialisation,City,Hospital/Clinic,Experience,Padma_Vibhushan,Padma_Bhushan,Padma_Shri,Dhanvantari_Award,BC_Roy_National_Award,Other_Awards
Prof. Dr. Suresh H. Advani,Medical Oncologist, Mumbai," Jaslok Hospital, Mumbai",43,0,1,1,1,1,8
Dr. Ashok Seth,Interventional Cardiologist, New Delhi," Fortis Escorts Heart Institute, New Delhi",38,0,1,1,0,0,8
Dr. Sandeep Vaishya,Neurosurgeon, Gurgaon,  ,0,0,0,0,0,0,6
Dr IPS Oberoi,Orthopaedic and Joint Replacement Surgeon, Gurgaon,  ,0,0,0,0,0,0,2
Prof. Dr. Mohamed Rela,Liver Transplant Surgeon, Chennai," Dr. Rela Institute and Medical Centre, Chennai",31,0,0,0,0,0,9
Dr. Naresh Trehan,Cardiac Surgeon, Gurgaon,  ,40,0,1,1,0,0,10
Dr. R.C.M Kaza,Urologist and Andrologist, New Delhi," Max Super Speciality hospital, Patparganj, New Delhi",36,0,0,0,0,0,9
Dr Harit Chaturvedi,Surgical Oncologist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",25,0,0,0,0,0,7
Dr. Ajay Kaul,Cardiac Surgeon, New Delhi,  ,36,0,0,0,0,0,2
Dr. Ashok Rajgopal,Orthopaedic and Joint Replacement Surgeon, Gurgaon,  ,36,0,0,1,0,0,3
Dr. Kapil Kumar,Surgical Oncologist, New Delhi,  ,28,0,0,0,0,0,5
Dr Aditya Gupta ,Neurosurgeon, Gurgaon,  ,0,0,0,0,0,0,1
Dr Devi Prasad Shetty ,Cardiac Surgeon, Bangalore," Narayana Multispeciality Hospital, Bangalore",34,0,1,1,0,0,5
Dr. Apurba K Pal,Medical Gastroenterologist, Kolkata," Ruby General Hospital, Kolkata",44,0,0,0,0,0,6
Dr. Kunal Sengupta,Orthopaedic and Joint Replacement Surgeon, Kolkata,Arthoscopy and Sports Medicine,0,0,0,0,0,0,5
Dr. V. P. Singh,Neurosurgeon, Gurgaon," Medanta - The Medicity, Gurgaon",30,0,0,0,0,0,8
Dr Sandeep Attawar,Cardiac Surgeon, Chennai," Global Hospitals, Chennai",22,0,0,0,0,0,10
Dr. Ashok Vaid,Hematologist, Gurgaon,", Medical Oncologist",0,0,0,1,0,0,5
Dr. Pradeep Sharma,Orthopaedic and Joint Replacement Surgeon, New Delhi,Hip Surgery,0,0,0,0,0,0,8
Dr  Y K Mishra ,Cardiac Surgeon, New Delhi,  ,32,0,0,0,0,0,10
Dr. P S Binu,General Surgeon, Kochi, Aster Medcity Kochi,40,0,0,0,0,0,6
Dr. S Radhakrishnan,Pediatric Cardiac Surgeon, New Delhi," Fortis Flt. Lt. Rajan Dhall Hospital, Vasant Kunj, New Delhi",34,0,0,0,0,0,10
Dr. Naveen Talwar,Orthopaedic and Joint Replacement Surgeon, New Delhi,,30,0,0,0,0,0,4
Dr. Tapti Sen,Surgical Oncologist, Kolkata, Medica Superspecialty Hospital,31,0,0,0,0,0,9
Dr. Vinay Gupta,Orthopaedic and Joint Replacement Surgeon, New Delhi, Saroj Super Speciality Hospital,40,0,0,0,0,0,1
Dr. P.K. Gambhir,General Surgeon, New Delhi, Saroj Super Speciality Hospital,43,0,0,0,0,0,4
Dr. Basanta Behera,Orthopaedic and Joint Replacement Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",44,0,0,0,0,0,4
